AnimalName,Breed,Age,Weight_kg,MedicalHistory,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5
Dog,Beagle,9.6,19.1,Previous kidney disease,Diarrhea,Vomiting,Red eye,Fever,Anorexia
cat,Persian,5.9,5.9,Previous kidney disease,Feather Loss,Feather Plucking,Coughing,Itching,Nasal Discharge
cat,Persian,18.0,5.5,No previous conditions,Clubbed Feather,Vomiting,Weakness,Lethargy,Watery Eyes
cat,Ragdoll,6.6,7.8,Recent surgery,Fever,Diarrhea,Clearly unthrifty,Weight loss,Good appetite
cat,Maine Coon,5.1,7.2,Vaccinated,Vomiting,Pain,Neck Vein Swelling,Anorexia,Fever
cat,Ragdoll,6.0,4.6,Previous heart condition,recumbency,inappetence,dull ness,self-isolation,weight loss
Dog,Boxer,0.5,15.5,Allergies,Diffulty chewing,Lethargy,Vomiting,Weight loss,reduced appetite
Dog,Rottweiler,5.9,43.1,Parasite history,Weight loss,Sneezing,Coughing,Obscure Lameness,Sneezing
cat,Siamese,7.8,5.0,Not vaccinated,Fever,Lumps,Pain,Abnormally long leg,Poor condition
Dog,Bulldog,3.8,31.9,Skin conditions history,Sores on lip,Infection,Sores on lower leg and teats,Lesion,Pain
Dog,Beagle,12.8,27.2,Not vaccinated,Fetopelvic dispropotion,Uteria inertia,Despression,Death,Pains
cat,Sphynx,10.4,6.0,No previous conditions,Bloody Urine,Diffculty breathing,Vomiting,Weight loss,Anorexia
Dog,Labrador Retriever,4.1,30.3,Vaccinated,Strong cough,Pain,Sneezing,Weight loss,muscular spasms
Dog,Mixed Breed,4.1,40.0,Previous heart condition,Coughing,Anorexia,Coughing,Vomiting,Coughing
cat,Ragdoll,3.1,6.5,Skin conditions history,Sudden Abortion,Death of lamb,Hemoglobinuria,Discharge ,Weight Loss
Dog,Labrador Retriever,9.3,44.1,No previous conditions,Depression,Loss of appetite,Pains,loss of appetite,Fever
cat,Persian,8.1,4.6,Recent surgery,Sneezing,Infection,Difficulty in breathing,Dyspnea,Coughing
Dog,Mixed Breed,13.3,31.4,Dental issues,Coughing,Lethargy,Weight loss,Pain,Weakness
cat,Persian,8.6,5.7,Dental issues,Fever,Tenderness,Anorexia,Diarrhea,Anorexia
cat,Bengal,11.6,4.5,Previous kidney disease,Sneezing,Normal appetite,Diarrhea,Fever,Watery Stool
cat,Sphynx,11.2,4.7,Parasite history,Fever,Ataxia,Aggressiveness,Depression,Obscure Lameness
cat,Ragdoll,11.2,5.7,No previous conditions,Lethargy,Weight loss,Swallowing,Pain,Diarrhea
cat,Ragdoll,12.3,9.0,Allergies,Diarrhea,Pain,Weight loss,Coughing,Weakness
Dog,Beagle,8.6,25.9,Skin conditions history,Fever,Wound lesion,Excess salivary,Difficult in walking,Pain
Dog,Bulldog,3.6,23.6,No previous conditions,Sneezing,abortion,Anoxeria,Labored breathing,Weight loss
Dog,Boxer,12.5,20.5,Allergies,Skin may thicken,Weight loss,Lethargy,Weight loss,Fever
Dog,Mixed Breed,4.9,29.8,Parasite history,Weight loss,Vomiting,Vomiting,Sneezing,Swelling
Dog,Mixed Breed,15.0,21.0,Previous kidney disease,Weight loss,Lethargy,Coughing,Lethargy,Excess salivary
cat,Scottish Fold,18.0,3.5,Allergies,Difficulty in breathing,Vomiting,Emaciation,Diarrhea,Weakness
Dog,Beagle,11.1,17.1,Recent surgery,Fever,Diarrhea,Enteritis,Weight loss,Stomach  cramps
Dog,Bulldog,11.8,25.9,Allergies,vomiting,Lethargy,Lethargy,Weakness,Fast breathing
Dog,Rottweiler,12.3,39.7,No previous conditions,Lethargy,Sneezing,Weight loss,Sneezing,Sneezing
Dog,Poodle,2.6,9.6,Dental issues,Fever,Diarrhea,Coughing,Lethargy,Blue Eye
cat,Ragdoll,13.9,7.0,Previous heart condition,Vomiting,Sneezing,Inflammation of eye,Weakness,Lethargy
cat,Bengal,2.7,3.4,Dental issues,Skin infection,Small red bumps,Pneumonia ,Pain,Septic Arthritis
Dog,Poodle,2.4,9.8,Dental issues,Fever,Diarrhea,Coughing,Lethargy,Blue Eye
Dog,Yorkshire Terrier,13.3,5.0,Previous heart condition,Loss of appetite,Swelling,Nasal Discharge,Blindness,Lethargy
cat,Scottish Fold,2.3,6.4,Parasite history,stumbling,drooping ears,drooling,listlessness,wasting
Dog,Boxer,6.8,18.4,Previous kidney disease,Wound lesion,Fever,Diarrhea,Pain,Vomiting
Dog,Boxer,14.1,18.4,Allergies,Overweight,Loss of Appetite,Ruffled feathers,Depression,Diarrhea
Dog,Rottweiler,5.5,26.8,Allergies,Fetopelvic dispropotion,Uteria inertia,Malpresentation,Death,Pains
cat,Siamese,8.9,5.5,Vaccinated,Lethargy,Vomiting,Hyperaestesia,Coughing,Fever
cat,Mixed Breed,6.9,5.6,Chronic illness,Nasal Bleeding,Weakness,Weight loss,Lethargy,Lethargy
Dog,Boxer,5.0,21.1,Not vaccinated,Fever,Diarrhea,Weight loss,Sneezing,Weakness
Dog,Golden Retriever,6.9,34.6,Recent surgery,Pain,Fever,Slow growth,Weight loss,Coughing
Dog,Beagle,5.1,19.0,Allergies,Bleeding from the nose,Fever,Anorexia,Sneezing,Lethargy
cat,Sphynx,9.9,5.6,Dental issues,Discharge,Vomiting,Pain,Fever,Diarrhea
cat,Scottish Fold,3.7,5.2,Previous heart condition,Anorexia,Dullness,Congestion,Diarrhea,Anorexia
Dog,Rottweiler,6.3,40.6,Parasite history,Diarrhea,Constant pacing,Fever,Weakness,Weakness
cat,Bengal,9.2,4.0,Not vaccinated,Anorexia,Aversion to light,Diarrhea,Coughing,Vomiting
cat,Siamese,8.6,4.0,Not vaccinated,Weight loss,Vomiting,Abdominal pain,Hot joints,Coughing
Dog,Golden Retriever,12.2,38.6,Recent surgery,Dilation of duodenum,Sneezing,Pain,Diarrhea,Weakness
cat,Scottish Fold,9.5,4.1,Parasite history,Sneezing,Slim over the shell,Lethargy,Straw colored,Weakness
Dog,Labrador Retriever,14.2,41.6,Not vaccinated,droopy wings,Gasping,coughing ,mild weakness,twisted neck
Dog,Golden Retriever,0.5,42.9,Allergies,Diarrhea,Sneezing,Fever,Inability to absorb nutrients,Fever
Dog,Mixed Breed,0.9,8.7,Allergies,Difficulty in breathing,Death,Fever,Pains,Lethargy
cat,Scottish Fold,0.5,4.0,Previous kidney disease,Vomiting,Reduce feed,Pain,Lethargy,Anorexia
cat,Maine Coon,6.0,8.6,Previous kidney disease,Fever,Muscle Loss,Skeleten pain,Weight loss,Wasting
Dog,Bulldog,3.9,22.8,Previous kidney disease,Fever,Loss of appetite,Lameness,Rump,Weight Loss
Dog,German Shepherd,6.1,37.5,Not vaccinated,Skin rashes,Dry Scabs,Lameness,Small and yellow bumps,Swelling
Dog,Bulldog,0.5,21.9,Parasite history,Pain,Weight loss,Weakness,Vomiting,Weight loss
cat,Ragdoll,3.5,8.6,Parasite history,Diarrhea,Pain,Vomiting,Weakness,swollen abdomen
cat,British Shorthair,16.2,6.3,Chronic illness,Floopy muscle,Speech delay,Intellectual disability,Walking problem,Eye movements
Dog,Golden Retriever,6.9,42.2,Recent surgery,Asymptomatic,Coughing,Body stiffness,Coughing,Sneezing
cat,Mixed Breed,8.0,2.5,Chronic illness,Arthritis,Anorexia,Vomiting,Anorexia,Warm
Dog,Yorkshire Terrier,9.5,8.0,Previous heart condition,Anorexia,Pain,Coughing,Mouth lesion,Lethargy
Dog,Mixed Breed,11.0,31.4,Parasite history,Lethargy,Vomiting,Pain,Fever,Red and inflammation ear
Dog,Mixed Breed,1.3,10.7,Not vaccinated,stop eating,stop drinking,change their normal behaviour,diarrhea,Pains
Dog,Beagle,9.0,29.3,Parasite history,Sneezing,Pain,Anorexia,Weight loss,Coughing
cat,Mixed Breed,4.5,2.9,Chronic illness,Fever,Diarrhea,Vomiting,Dehydration,Pain
cat,Mixed Breed,11.1,6.0,Skin conditions history,Head ache,Dizziness,Reduce growth,Wound,SkinAllergy
Dog,Poodle,1.0,10.0,Recent surgery,Cell Damage,Lethargy,Bluish white opacity,Coughing,Fever
cat,British Shorthair,4.8,6.1,No previous conditions,Overweight,Loss of Appetite,Ruffled feathers,Depression,Diarrhea
cat,Siamese,1.2,5.2,Previous heart condition,Swaying,Pains,Tremor,Jerky limb movements,Behaviour change
Dog,Bulldog,5.7,24.7,Chronic illness,Achomotrica,Lethargy,Grinding teeth,Weight loss,Coughing
cat,Sphynx,3.9,6.0,Chronic illness,Fever,Reduce growth,Edema in lower jaw,Weight loss,Anemia
Dog,Rottweiler,2.8,45.0,Previous kidney disease,Sneezing,Diarrhea,Lethargy,Sensitive to touch,Lethargy
cat,Bengal,11.8,5.1,Vaccinated,Lethargy,Diarrhea,Vomiting,Discharge from eye,Anorexia
cat,Sphynx,0.5,3.9,No previous conditions,weight loss,dull ness,muscles problem,self-isolation,recumbency
cat,Sphynx,3.7,5.4,Vaccinated,Watery Eyes,Eye closed,Weight loss,Sneezing,Nervous Issue
cat,Scottish Fold,4.7,5.5,Chronic illness,Convulsion,Sudden death,Trouble walking,Paralysis,Depression
cat,Bengal,6.4,5.8,Chronic illness,Weight loss,Diarrhea,Fever,Pain,Vomiting
Dog,Yorkshire Terrier,12.6,6.8,Previous kidney disease,Lethargy,Reduce feed,Lying down,Thicked skin,Pain
Dog,Boxer,4.4,24.2,Parasite history,Strong cough,Diarrhea,Weakness,Fever,Coughing
Dog,German Shepherd,1.3,31.0,No previous conditions,Sneezing,Sudden death,Coughing,Weight loss,Lethargy
cat,Mixed Breed,15.8,3.2,Previous kidney disease,Decreased growth of bone,Depression,Grunting,Lameness,Weight loss
Dog,Mixed Breed,12.7,13.2,Vaccinated,Foul Smelling,Dullness,Dirty,Stained Wool,Tail shaking
Dog,Bulldog,6.8,18.4,Skin conditions history,Weight loss,Weight loss,Anorexia,Weight loss,Sneezing
Dog,Beagle,5.0,26.2,Previous heart condition,Milky Hard,Weight loss,Weight loss,Lethargy,restless movement
cat,Persian,8.4,5.6,Parasite history,nausea,vomiting,loss of appetite,experiencing changes in weight, pain and bloating
cat,Bengal,2.1,3.0,Dental issues,Fever,Rhinorrhea,Coughing,Sneezing,Nasal Discharge
Dog,Poodle,4.1,7.2,Skin conditions history,Lethargy,Sneezing,Lethargy,Pain,Lethargy
cat,Persian,5.4,6.4,Parasite history,Weakness,Pain,Weakness,Vomiting,Weight loss
Dog,Beagle,3.7,13.8,Recent surgery,Swollen,Testical Pain,Itches,Tenderness,Bloody discharge
cat,Bengal,2.9,5.8,Chronic illness,fever,mild colic,loss of tail tone,loss of appetite,depression
Dog,Golden Retriever,8.5,28.2,Skin conditions history,Diarrhea,Paresis,Vomiting,Pain,Weight loss
cat,Ragdoll,13.7,7.5,Allergies,Fever,Chills,Severe colic,Weakness,Anorexia
cat,Sphynx,13.6,5.4,Previous kidney disease,Vomiting,Increased in breathing,gasping for breath,Anorexia,Diarrhea
cat,Siamese,14.6,6.3,Previous kidney disease,Vomiting,Vomiting,Weakness,Fever,Anorexia
Dog,Bulldog,4.3,21.9,Previous kidney disease,Weight loss,Diarrhea,Weight loss,Pain,Vomiting
cat,Persian,1.0,3.7,Allergies,Weight loss,Lethargy,Skin issue,Loss of eat,Fell unwell
cat,Scottish Fold,5.9,3.7,Dental issues,Fever,Tiredness,loss of appetite,Muscle aches,Chest Pain
cat,Scottish Fold,1.6,4.7,Parasite history,inflamed nostrils,Nosebleeds,Sneezing,Nasal discharge,Lound breathing
Dog,Boxer,8.0,27.9,Previous kidney disease,Sneezing,Vomiting,Weakness,Loss of earing,Pain
cat,British Shorthair,5.6,4.0,Vaccinated,Scaly patches of skin,Sore,Scabs,Scartch,Hair loss
cat,Maine Coon,3.8,7.0,Allergies,swollen purple wattle,Weight loss,Anorexia,Sneezing,Weight loss
Dog,Mixed Breed,8.4,31.2,Previous kidney disease,Bloody Diarhhea,Depression,Dullness,Death,Weakness
cat,Sphynx,2.0,8.0,Recent surgery,Lethargy,Weight loss,Coughing,Mouth lesion,Grinding teeth
Dog,Beagle,2.3,19.0,Previous heart condition,Pain,Anorexia,Weight loss,Uncharacteristic hiding,Diarrhea
Dog,Golden Retriever,3.7,39.9,Parasite history,Vomiting,Enteritis,outstretched neck,Diarrhea,Fever
Dog,Labrador Retriever,6.3,31.7,Previous heart condition,Diarrhea,Bloody in feather,Vomiting,Sneezing,coughing
cat,Scottish Fold,15.6,5.0,Vaccinated,Tenderness,Foot Hot,Facial Paralysis,Weight loss,Pains
Dog,Beagle,11.0,18.9,Not vaccinated,Weakness,Lethargy,difficulty diagnosis,Sneezing,Lethargy
cat,Maine Coon,7.9,7.3,Not vaccinated,paralysis,Sneezing,Coughing,Diarrhea,Coughing
Dog,German Shepherd,7.1,44.1,No previous conditions,Weakness,Sneezing,Sneezing,weakened legs,Diarrhea
Dog,German Shepherd,6.7,29.4,Not vaccinated,Poor coat apperence ,Diarrhea,Vomiting,Weight loss,Dehydration
cat,Ragdoll,13.0,8.5,Allergies,Polyuria,Loss of  appetite,Vomiting,Weight loss,Polydipsa
Dog,Poodle,13.8,4.0,Not vaccinated,Diarrhea,Vomiting,Anorexia,Diarrhea,Pain
Dog,Beagle,14.7,24.6,Vaccinated,Fever,Coughing,Weakness,Vomiting,Vomiting
Dog,Beagle,1.8,25.3,Chronic illness,stop eating,stop drinking,change their normal behaviour,Weight loss,Pains
cat,Mixed Breed,16.3,3.2,Previous kidney disease,Passing of undigested food,Diarrhea,Vomiting,Gas or bloating,Dehydration
Dog,German Shepherd,5.8,41.1,Not vaccinated,Skin rashes,Small and yellow bumps,Swelling,Dry Scabs,Lameness
cat,Maine Coon,8.3,8.0,Allergies,Lethargy,Weakness,Vomiting,Weight loss,Vomiting
cat,Bengal,15.0,3.5,Allergies,Underdeveloped muscles,Flat ribs,Facial defects,Hair loss,Skeleten abnormalities
cat,Mixed Breed,2.2,5.1,Dental issues,Loss of activity,Pain,Vomiting,Raised growth or bump,Fever
cat,Ragdoll,12.4,8.6,Parasite history,Fever,Seizures,Hydrophobia,Jaw is dropped,Shyness or aggression
cat,Bengal,16.4,3.8,Allergies,Jaundice,Weekness,Lethargy,Weight loss,Anorexia
Dog,Poodle,6.2,6.0,Dental issues,Fever,Coughing,Cessation of eructation,Weakness,Coughing
Dog,Golden Retriever,4.1,41.4,Skin conditions history,Diarrhea,Coughing,Pain,Anorexia,Anorexia
Dog,Mixed Breed,5.7,8.4,Dental issues,Sneezing,Coughing,lying down,Twitching,Vomiting
Dog,Beagle,1.8,14.3,Allergies,Fever,Loss of  appetite,Reduce Energy,Lameness,Swelling of joints
Dog,Boxer,7.7,17.4,Chronic illness,Diarrhea,Sneezing,Anorexia,Weakness,Sneezing
Dog,Golden Retriever,5.7,39.8,Previous kidney disease,Swelling on theBody,Sneezing,Watery Diarrhea dispropotion,Fever,Diarrhea
cat,Bengal,7.2,2.6,No previous conditions,Muscle aches,Sneezing,Diarrhea,Fever,Weakness
cat,Persian,9.2,5.8,Vaccinated,Coughing,Slim over the shell,Lethargy,Coughing,Skin Lesion
cat,Maine Coon,8.1,6.3,Allergies,Weight loss,Weakness,Pharyngitis,Lethargy,Vomiting
cat,Scottish Fold,14.7,5.0,Previous kidney disease,Anorexia,Weakness,Pain,Fever,Anorexia
cat,Siamese,11.6,2.5,Dental issues,Anorexia,Sneezing,Vomiting,Vomiting,Pain
cat,Sphynx,15.4,3.2,Skin conditions history,fever,nasal discharge,muscular stiffness,swollen lymph nodes,depression
Dog,German Shepherd,3.7,34.8,Skin conditions history,Diarrhea,Fever,Diarrhea,Anorexia,Weakness
cat,Maine Coon,9.8,5.4,Previous heart condition,Tremors,Lying on the side,Difficulty in Swallowing,Death,Not eating
cat,Siamese,18.0,5.7,Recent surgery,Vomiting,Warm,Fever,Fever,Less Eat
cat,Scottish Fold,4.6,5.8,Chronic illness,Convulsion,Paralysis,Depression,Trouble walking,Sudden death
cat,British Shorthair,9.1,5.2,Not vaccinated,Anorexia,Vomiting,Pain,Sneezing,Weight loss
cat,Sphynx,14.3,3.5,No previous conditions,Difficulty in breathing,swelling problem,bleeding from wounds,frequent yawning,anorexia
cat,Bengal,16.7,3.3,Skin conditions history,Egg production stops,Broody behavior,loss of appetite,Weight loss,Constipation
Dog,Golden Retriever,1.3,32.7,Recent surgery,Fever,Anoxeria,Weight loss,Lethargy,Pain
Dog,Yorkshire Terrier,13.8,5.3,Not vaccinated,Pain,Discomfort,Grinding teeth,Diarrhea,Dry or dull hair
Dog,Beagle,8.3,24.2,Parasite history,Lethargy,Pain,Discharge ,Lethargy,Lethargy
Dog,Mixed Breed,11.2,28.6,Allergies,Weakness,Rubbing eye,Anorexia,Vomiting,Sneezing
Dog,Rottweiler,1.4,33.8,Chronic illness,Pain,Fever,Sneezing,Anorexia,Weight loss
Dog,Labrador Retriever,2.9,34.7,Not vaccinated,Radip onset,Stiff,Muscle Trembling,Weakness,Death
Dog,Yorkshire Terrier,10.3,6.4,Not vaccinated,Vomiting,Lethargy,Vomiting,Sneezing,Weight loss
cat,Persian,10.5,3.6,Skin conditions history,Pain,Diarrhea,frequent yawning,Lethargy,Spread of infection
Dog,Poodle,0.5,3.9,Vaccinated,Fever,Sneezing,Pain,Coughing,Pain
cat,Scottish Fold,7.8,6.9,Parasite history,urination problem,listlessness,wasting,stumbling,drooling
cat,Maine Coon,8.0,6.4,Chronic illness,Weakness,Diarrhea,Pain,Vomiting,Bloody Diarrhea
cat,Persian,16.9,4.8,Dental issues,stumbling,listlessness,drooping ears,drooling,wasting
cat,Persian,8.4,6.6,Vaccinated,Enlarged lymph nodes or Swelling,Rump,Fever,Pain,Weakness
Dog,Yorkshire Terrier,6.1,6.3,Dental issues,Coughing ,Vomiting,Diarrhea,Weight loss,Unusally thin
cat,Scottish Fold,5.2,5.7,Skin conditions history,Bony Lesion,Anorexia,Weakness,Ataxia,Skin Rashes
cat,Bengal,1.8,2.5,Dental issues,Fever,Rhinorrhea,Coughing,Sneezing,Nasal Discharge
Dog,Bulldog,3.9,18.9,Previous heart condition,Fever,Sour Throat,Abnormalities,Muscle aches,Mortality
Dog,Golden Retriever,9.2,33.5,Not vaccinated,Discharge From eyes,Redness of eye,Blindness,Scartches,Pains
cat,Scottish Fold,18.0,3.9,Skin conditions history,Emaciation,Difficulty in breathing,Vomiting,Weakness,Diarrhea
cat,Sphynx,11.0,3.5,No previous conditions,Weight loss,Pain,Poor condition,Enlarged lymph nodes,Diarrhea
cat,Sphynx,12.0,5.4,Vaccinated,Coughing,inappetence,Lethargy,Weight loss,Anorexia
Dog,Boxer,2.5,27.7,Dental issues,Nausea,Indigestion,Constipation,Abdminal pain,Diarrhea
Dog,Beagle,12.2,18.4,Recent surgery,Fever,Enteritis,Stomach  cramps,Diarrhea,Weight loss
cat,Bengal,5.2,4.1,Allergies,Lethargy,Weight loss,Coughing,Diarrhea,Sneezing
Dog,Bulldog,8.9,23.0,Parasite history,Sudden death,Lethargy,Pain,Coughing,Fluif filled blisters
Dog,Bulldog,3.5,16.7,Chronic illness,Diarrhea,Pain,difficulty swallowing,Anorexia,Vomiting
cat,Bengal,11.4,4.0,Parasite history,Vomiting,Vomiting,Coughing,Weight loss,Fever
Dog,Yorkshire Terrier,14.9,5.8,Recent surgery,Indigestion,Abdminal pain,Constipation,Diarrhea,Nausea
Dog,Labrador Retriever,14.6,30.5,Allergies,Pain,Lethargy,Weakness,Sneezing,Weight loss
cat,Sphynx,1.4,4.8,Allergies,Fever,Anoxeria,Weight loss,Lethargy,Pain
Dog,German Shepherd,10.4,29.6,Recent surgery,Fever,Swelling,loss of appetite,Anorexia,Weight Loss
Dog,Boxer,2.9,16.5,Allergies,Swelling of udder,change in milk,Swollen,Tender to touch,Pain
Dog,Mixed Breed,11.8,12.5,Chronic illness,Vomitting,Pneumonia ,Lession on the skin,Jaundice,pain 
cat,Ragdoll,1.2,9.7,Parasite history,Mortality,Painfull,Coughing,Weight loss,Nasal Discharge
Dog,Yorkshire Terrier,15.0,4.2,Not vaccinated,Fleece become thin,Sneezing,Sneezing,Stamping And pedding of hind eye,Fever
Dog,German Shepherd,5.4,35.5,Recent surgery,loss of appetite,Closed eyes,Diarrhea,ruffled feathers,thirst
cat,Sphynx,7.6,6.1,Previous kidney disease,Hock joint,Sneezing,Diarrhea,Sneezing,Stopped eat
Dog,Yorkshire Terrier,9.8,3.0,Previous heart condition,Distended chest,Skin colour change,Inflammed eye,Anorexia,Vomiting
cat,British Shorthair,5.9,4.2,Previous kidney disease,Weight loss,Weakness,Vomiting,Coughing,Lethargy
cat,Persian,6.4,5.5,Chronic illness,Smell,Diarrhea,loss of appetite,Excess sleeping,Folded Ears
Dog,Rottweiler,9.1,37.6,Parasite history,Vomiting,Anorexia,Weight loss,Lethargy,Raw
Dog,Golden Retriever,8.9,29.9,Chronic illness,Pain,Diarrhea,Pain,Weight loss,Loss of consciousness
Dog,Beagle,3.9,16.6,Allergies,Fever,Anorexia,Lession on cat skin,Weakness,Fever
cat,British Shorthair,6.8,5.2,Vaccinated,Fever,Diarrhea,Muscle twiching,Lameness,Weight loss
Dog,Mixed Breed,5.1,7.6,Allergies,Weight loss,Coughing,Sloughing of the tail,Diarrhea,Fever
cat,Sphynx,18.0,3.4,Previous kidney disease,Pain,Lethargy,Coughing,Sneezing,Coughing
cat,Mixed Breed,16.5,3.3,No previous conditions,Weight loss,Grunting,Decreased growth of bone,Depression,Lameness
cat,Sphynx,16.6,7.2,Allergies,Weight loss,Lethargy,Lethargy,Sneezing,Weight loss
cat,Siamese,15.2,5.2,No previous conditions,Fever,Succumb,Sluggish,Anorexia,Pains
Dog,Boxer,0.5,25.9,Parasite history,Puffed_up Feather,Anorexia,Weight loss,Diarrhea,Diarrhea
cat,Ragdoll,10.7,6.6,Vaccinated,Weakness,Red Diarrhea,Discharge ,Lethargy,Lethargy
Dog,Golden Retriever,2.7,32.9,Recent surgery,Fever,Dark colored bloody,Incoordination,Difficulty in breathing,Terminal convulsion
cat,Bengal,0.5,3.8,Previous heart condition,Swollen lymph nodes,Vomiting,Pain,Sneezing,Weight loss
cat,Bengal,5.1,4.2,Chronic illness,Vomiting,Vomiting,Tail_Bobbing,Pain,Coughing
cat,British Shorthair,10.3,4.6,Previous kidney disease,Blindness,Recumbency,Circling,Wandering,Head Pressing
Dog,German Shepherd,12.8,41.8,Recent surgery,Death,Pain,Weakness,Blue straws,Restlessness
cat,Persian,8.4,5.4,Recent surgery,Dyspnea,Sneezing,Coughing,Difficulty in breathing,Infection
Dog,German Shepherd,13.1,41.0,Dental issues,Fetopelvic dispropotion,Uteria inertia,Malpresentation,Death,Pains
cat,Ragdoll,5.1,6.7,Dental issues,Fever,Ulcer on gum,Red eye,Yellowish Discharge,Bloody Diarrhea
Dog,Yorkshire Terrier,3.0,7.5,No previous conditions,Weight loss,egg production decreases,Drooling,Excess salivation,Vomiting
Dog,German Shepherd,14.2,41.0,Allergies,Fever,Diarrhea,Coughing,Tiredness,Pains
cat,Mixed Breed,7.5,2.7,Parasite history,Ruffled Appearance,Loss of Appetite,Vomiting,Green Dropping,Nasal Discharge
Dog,Boxer,7.7,26.1,Previous kidney disease,Weakness,Weakness,Pain,mild colic,Fever
cat,Mixed Breed,8.3,5.3,Allergies,Pain,Weight loss,Diarrhea,Lethargy,Weight loss
cat,Bengal,3.2,6.7,Parasite history,Size of lesions vary,Fever,Diarrhea,Lethargy,Lethargy
cat,Scottish Fold,0.7,7.2,Previous kidney disease,Fever,Death,Coughing,Weight loss,Nasal Discharge
Dog,Bulldog,2.8,17.2,Parasite history,Lethargy,Weight loss,high temperature,Fever,Indigestion
Dog,Bulldog,3.1,22.9,Parasite history,Coughing,Weight loss,Diarrhea,Weight loss,Lethargy
cat,Siamese,6.1,5.3,Dental issues,Dehydration,Vomiting,Weight loss,Weight loss,Stumbling
Dog,Mixed Breed,7.7,5.0,Recent surgery,Pain,nausea,Fever,Weight loss,Pain
cat,Mixed Breed,13.0,6.4,Chronic illness,Difficulty in Swallowing,Lethargy,Diarrhea,Weakness,Coughing
cat,Mixed Breed,2.3,3.1,Parasite history,Swollen,Warm,Constipation,Depression,Bloody
Dog,Bulldog,11.1,22.3,Not vaccinated,Bloody droping,Lethargy,Fever,Abdominal discomfort,Diarrhea
Dog,Poodle,0.5,7.6,Allergies,Coughing,Diarrhea,Constant pacing,Coughing,Diarrhea
cat,Siamese,6.2,5.3,Chronic illness,Anorexia,Lethargy,Stripped remiges,Weight loss,Pain
cat,Maine Coon,10.0,6.3,No previous conditions,sweating,muscular spasms,difficulty moving and eating,thirst,Weight loss
Dog,Poodle,11.0,6.8,Previous heart condition,Severe kerititis,Conjunctive,Discharge,Iris prolapse,Loss of eye
cat,Sphynx,15.8,3.1,Vaccinated,Pale comb,Lame,Death,Swolling of joint,Eye closed
cat,Sphynx,3.9,5.9,Previous heart condition,Pain,Pain,Vomiting,Coughing,Coughing
Dog,Mixed Breed,1.5,25.6,Chronic illness,eye discharges,nasal discharge,change their normal behaviour,high body temperature,lameness
cat,British Shorthair,15.6,3.7,No previous conditions,Dullness,Weight loss,Anorexia,Fever,Depression
cat,British Shorthair,4.3,8.0,Skin conditions history,Anorexia,Mouth lesion,Weakness,Diarrhea,Bloody Urine
Dog,Yorkshire Terrier,0.5,10.0,Recent surgery,Decreased eyelid,Pain,Lack of walking,Coughing,Anorexia
Dog,Golden Retriever,3.7,37.1,No previous conditions,Vomiting,Swolling of joint,Vomiting,Pain,Weakness
cat,Ragdoll,5.1,6.7,Vaccinated,General malaise,Anorexia,Anorexia,Swelling of eyelid,Infection of the skin
Dog,Bulldog,4.3,20.0,Recent surgery,Anorexia,Sneezing,Fever,Pain,Weakness
cat,Persian,12.8,6.1,Previous kidney disease,undernutrition,drinking polluted water,listlessness,Staggering,anorexia
cat,British Shorthair,2.4,3.8,Previous heart condition,Jaundice,Difficulty in breathing,Seizuers,Lethargy,Pale gums
cat,Scottish Fold,10.4,6.5,Allergies,Scartching,Weakness,Sneezing,Diffulty Swallowing,Weight loss
Dog,German Shepherd,9.9,42.7,Allergies,Halitosis,Coughing,Air sacculitis,Weight loss,Enteritis
Dog,Labrador Retriever,1.2,35.2,Skin conditions history, abortion at the end of gestation,Fatigue,weak calves,Join pains,Swelling of internal organs
cat,Maine Coon,6.2,6.7,Skin conditions history,Weakness,Weight loss,Hydrophobia,Blood from mouth,Diarrhea
Dog,Yorkshire Terrier,9.7,9.5,Not vaccinated,Fever,Diarrhea,Swelling,Weight loss,Pain
Dog,Labrador Retriever,0.5,30.8,No previous conditions,Weight loss,Anorexia,Coughing,Fever,Dark colored bloody
Dog,German Shepherd,12.7,38.2,Recent surgery,Anorexia,Weakness,Coughing,Lethargy,Diarrhea
cat,Bengal,7.6,3.5,Recent surgery,Weight loss,Sneezing,Anorexia,Lethargy,Pain
cat,Ragdoll,4.5,8.4,Previous heart condition,Sneezing,Coughing,Excessive blood loss,Weight loss,Pain
Dog,Mixed Breed,6.9,15.3,Skin conditions history,Hyperexcitability,Muscular Spasms,Gums,Death,Pains
Dog,Bulldog,3.3,26.5,Not vaccinated,Fever,Swelling of face or leg,Poor Appetite,Depression,Pains
cat,Maine Coon,13.8,7.0,Chronic illness,Coughing,Rhinorrhea,Fever,Nasal Discharge,Sneezing
cat,Sphynx,16.4,6.8,No previous conditions,Eye redness,Diarrhea,Anorexia,Mucous discharge,Pain
Dog,Yorkshire Terrier,13.3,3.5,Previous kidney disease,Coughing,Vomiting,Weight loss,Sneezing,Lethargy
cat,Persian,12.9,3.4,Allergies,Coughing,Vomiting,Diarrhea,Anorexia,Bloody
cat,Mixed Breed,11.6,6.2,No previous conditions,Weight loss,Sneezing,Coughing,Sneezing,Pain
cat,Bengal,6.9,2.9,Allergies,Vomiting,Urine infection,Vomiting,Hematuria,diffuse
